location,date,sample,density,quantity
arve_carouge_battistellak,2017-05-25,2,1.6786,94
arve_carouge_battistellak,2017-06-27,3,4.1786,234
arve_carouge_battistellak,2017-07-31,4,2.25,126
arve_carouge_battistellak,2017-08-28,5,1.6786,94
arve_carouge_battistellak,2017-09-30,6,3.0,168
arve_carouge_battistellak,2017-10-31,7,0.7143,40
arve_carouge_battistellak,2018-03-18,8,6.7679,379
Berlingen swisslitterreport,2017-04-08,1,1.28,256
Bielersee_Vinelz_FankhauserS,2017-04-22,1,3.0,105
Bielersee_Vinelz_FankhauserS,2017-05-27,2,3.1429,110
Bielersee_Vinelz_FankhauserS,2017-06-30,3,3.7429,131
Bielersee_Vinelz_FankhauserS,2017-07-29,4,1.3429,47
Bielersee_Vinelz_FankhauserS,2017-08-26,5,2.6286,92
Bielersee_Vinelz_FankhauserS,2017-09-29,6,1.6286,57
Bielersee_Vinelz_FankhauserS,2017-10-29,7,1.0286,36
Bielersee_Vinelz_FankhauserS,2017-11-30,8,5.4571,191
Bielersee_Vinelz_FankhauserS,2017-12-30,9,3.3429,117
Bielersee_Vinelz_FankhauserS,2018-01-31,10,4.1714,146
Bielersee_Vinelz_FankhauserS,2018-03-31,11,3.0286,106
Birs_Basel_GrunerN,2017-04-15,1,3.5588,121
Birs_Basel_GrunerN,2017-05-21,2,2.2059,75
Birs_Basel_GrunerN,2017-10-29,3,5.7059,194
Birs_basel_läderachs,2017-04-29,1,1.4286,40
Birs_basel_läderachs,2017-05-28,2,3.6786,103
Birs_basel_läderachs,2017-06-30,3,2.3929,67
Birs_basel_läderachs,2017-07-31,4,3.3214,93
Birs_basel_läderachs,2017-09-30,5,2.25,63
Birs_basel_läderachs,2017-12-30,6,0.7143,20
Birs_basel_läderachs,2018-02-28,7,0.5,14
Birs_basel_läderachs,2018-03-24,8,1.1071,31
Birs_Reinach_DiNucciN,2017-04-18,1,4.9444,178
Birs_Reinach_DiNucciN,2017-05-29,2,3.8333,138
Birs_Reinach_DiNucciN,2017-08-25,3,1.8333,66
Birs_Reinach_DiNucciN,2017-12-27,4,2.1111,76
Birs_Reinach_DiNucciN,2018-01-31,5,1.9722,71
Birs_Reinach_DiNucciN,2018-03-29,6,0.5833,21
Birsköpfli Rusco,2017-04-22,1,7.44,372
Birsköpfli Rusco,2017-05-21,2,6.0,300
Birsköpfli Rusco,2017-06-26,3,16.06,803
Birsköpfli Rusco,2017-07-25,4,6.62,331
Birsköpfli Rusco,2017-08-29,5,10.16,508
Birsköpfli Rusco,2017-10-03,6,1.14,57
Birsköpfli Rusco,2017-11-05,7,0.66,33
Birsköpfli Rusco,2017-12-03,8,1.12,56
Birsköpfli Rusco,2018-02-11,9,3.56,178
Birsköpfli Rusco,2018-03-08,10,1.98,99
bodensee_altenrhein_caluoria,2017-04-05,1,14.05,281
Bodensee_Arbon_MösliS,2017-04-05,1,1.5667,47
Bodensee_Arbon_MösliS,2017-05-09,2,0.7,21
Bodensee_Arbon_MösliS,2017-06-23,3,1.0667,32
Bodensee_Arbon_MösliS,2017-08-29,4,0.6667,20
Bodensee_Arbon_MösliS,2017-09-27,5,0.9333,28
Bodensee_Arbon_MösliS,2017-10-04,6,0.5,15
Bodensee_Arbon_MösliS,2017-11-15,7,1.1333,34
Bodensee_Arbon_MösliS,2017-12-27,8,0.5667,17
Bodensee_Arbon_MösliS,2018-01-31,9,0.7333,22
Bodensee_Arbon_MösliS,2018-02-28,10,0.3667,11
Bodensee_Arbon_MösliS,2018-03-24,11,0.3667,11
bodensee_horn_huberm,2017-04-30,1,13.4,201
Bodensee_Steinach_Dolder_A,2017-04-22,1,1.3587,125
Bodensee_Steinach_Dolder_A,2017-05-29,2,1.7283,159
Bodensee_Steinach_Dolder_A,2017-06-29,3,2.0761,191
Bodensee_Steinach_Dolder_A,2017-07-31,4,1.5978,147
Bodensee_Steinach_Dolder_A,2017-08-30,5,2.8152,259
Bodensee_Steinach_Dolder_A,2017-09-30,6,1.5109,139
Bodensee_Steinach_Dolder_A,2017-10-27,7,1.25,115
Bodensee_Steinach_Dolder_A,2017-11-26,8,1.8804,173
Bodensee_Steinach_Dolder_A,2017-12-29,9,1.7174,158
Bodensee_Steinach_Dolder_A,2018-01-26,10,1.3696,126
Bodensee_Steinach_Dolder_A,2018-02-28,11,2.0435,188
Bodensee_Steinach_Dolder_A,2018-03-24,12,3.1304,288
bodensee_thal_schlachterj_1,2017-10-29,1,0.4375,14
bodensee_thal_schlachterj_1,2017-11-30,2,0.9688,31
bodensee_thal_schlachterj_1,2017-12-29,3,0.625,20
chriesbach_duebendorf_schneidera,2017-04-04,1,1.6863,86
chriesbach_duebendorf_schneidera,2017-05-11,2,1.5294,78
chriesbach_duebendorf_schneidera,2017-06-13,3,0.451,23
chriesbach_duebendorf_schneidera,2017-07-11,4,1.1569,59
chriesbach_duebendorf_schneidera,2017-08-16,5,0.2549,13
chriesbach_duebendorf_schneidera,2017-09-19,6,0.1373,7
chriesbach_duebendorf_schneidera,2017-10-05,7,0.3137,16
chriesbach_duebendorf_schneidera,2017-11-15,8,0.3922,20
chriesbach_duebendorf_schneidera,2017-12-06,9,0.3725,19
chriesbach_duebendorf_schneidera,2018-01-08,10,1.5098,77
chriesbach_duebendorf_schneidera,2018-02-05,11,1.9412,99
chriesbach_duebendorf_schneidera,2018-03-09,12,1.2549,64
emme_biberist_jennim,2017-04-28,1,0.5333,8
emme_biberist_jennim,2017-05-19,2,0.6667,10
emme_biberist_jennim,2017-06-04,3,3.3333,50
emme_biberist_jennim,2017-07-04,4,1.4667,22
emme_biberist_jennim,2017-08-07,5,1.9333,29
emme_biberist_jennim,2017-09-08,6,1.8,27
emme_biberist_jennim,2017-10-18,7,1.3333,20
emme_biberist_jennim,2017-11-16,8,0.8,12
emme_biberist_jennim,2017-12-14,9,0.6,9
emme_biberist_jennim,2018-01-11,10,0.9333,14
emme_biberist_jennim,2018-02-02,11,1.0,15
emme_biberist_jennim,2018-03-08,12,0.8667,13
emme_luterbach_huggenbergerk,2017-04-10,1,0.4198,68
emme_luterbach_huggenbergerk,2017-05-11,2,0.0741,12
emme_luterbach_huggenbergerk,2017-06-28,3,0.5123,83
emme_luterbach_huggenbergerk,2017-07-29,4,0.0741,12
emme_luterbach_huggenbergerk,2017-08-30,5,0.2099,34
emme_luterbach_huggenbergerk,2017-09-30,6,0.1235,20
emme_luterbach_huggenbergerk,2017-10-30,7,0.0062,1
Emme_Utzenstorf_Grüttert,2017-04-13,1,1.2222,11
Emme_Utzenstorf_Grüttert,2017-05-02,2,0.4444,4
Emme_Utzenstorf_Grüttert,2017-07-21,3,0.6667,6
Emme_Utzenstorf_Grüttert,2017-08-30,4,0.5556,5
Emme_Utzenstorf_Grüttert,2017-11-30,5,0.2222,2
Emme_Utzenstorf_Grüttert,2018-01-30,6,0.4444,4
Emme_Utzenstorf_Grüttert,2018-02-27,7,0.3333,3
Emme_Utzenstorf_Grüttert,2018-03-27,8,0.6667,6
glatt_oerlikon_covosN,2017-05-21,1,2.3333,14
glatt_oerlikon_covosN,2017-07-09,2,1.6667,10
glatt_oerlikon_covosN,2017-08-30,3,0.1667,1
glatt_oerlikon_covosN,2017-10-15,4,2.1667,13
glatt_oerlikon_covosN,2018-01-21,5,1.8333,11
glatt_oerlikon_covosN,2018-02-25,6,1.8333,11
glatt_oerlikon_covosN,2018-03-24,7,1.6667,10
goldach_goldach_schlachterj,2017-10-29,1,0.4211,8
goldach_goldach_schlachterj,2017-11-30,2,0.1579,3
goldach_goldach_schlachterj,2017-12-29,3,0.3158,6
greifensee_fällanden_meistery,2017-04-05,1,2.3684,135
greifensee_fällanden_meistery,2017-05-08,2,2.0175,115
greifensee_fällanden_meistery,2017-06-06,3,2.7368,156
greifensee_fällanden_meistery,2017-07-05,4,1.7018,97
greifensee_fällanden_meistery,2017-08-21,5,1.193,68
greifensee_fällanden_simmenc,2017-04-29,1,1.6296,220
greifensee_greifensee_simmenc,2017-04-30,1,7.2075,382
greifensee_greifensee_simmenc,2017-05-30,2,37.9811,2013
greifensee_greifensee_simmenc,2017-06-29,3,15.1887,805
greifensee_greifensee_simmenc,2017-08-02,4,16.4906,874
greifensee_greifensee_simmenc,2017-10-05,5,7.3774,391
greifensee_greifensee_simmenc,2017-12-31,6,5.3208,282
greifensee_greifensee_simmenc,2018-01-31,7,6.6604,353
greifensee_greifensee_simmenc,2018-02-28,8,4.8491,257
greifensee_greifensee_simmenc,2018-03-31,9,4.9245,261
greifensee_maur_simmenc,2017-04-29,1,0.9302,40
greifensee_maur_simmenc,2017-05-31,2,3.6977,159
greifensee_maur_simmenc,2017-06-30,3,3.1395,135
greifensee_uster_fischerb_ 2,2017-04-21,1,2.08,52
greifensee_uster_fischerb_ 2,2017-05-28,2,2.4,60
greifensee_uster_fischerb_ 2,2017-06-19,3,3.44,86
greifensee_uster_fischerb_ 2,2017-07-24,4,6.04,151
greifensee_uster_fischerb_ 2,2017-08-30,5,0.56,14
greifensee_uster_fischerb_ 2,2017-09-25,6,1.28,32
greifensee_uster_fischerb_ 2,2017-10-19,7,0.84,21
greifensee_uster_fischerb_ 2,2018-03-31,8,0.64,16
greifensee_uster_fischerb_1,2017-04-21,1,1.8056,65
greifensee_uster_fischerb_1,2017-05-28,2,1.0556,38
greifensee_uster_fischerb_1,2017-06-19,3,3.0833,111
greifensee_uster_fischerb_1,2017-07-24,4,7.0833,255
greifensee_uster_fischerb_1,2017-08-30,5,1.1389,41
greifensee_uster_fischerb_1,2017-09-25,6,0.25,9
greifensee_uster_fischerb_1,2017-10-19,7,0.8056,29
greifensee_uster_fischerb_1,2018-03-31,8,1.6111,58
Grendelbach_Effretikon_DamboneC,2017-04-09,1,0.8571,12
Grendelbach_Effretikon_DamboneC,2017-05-08,2,2.5,35
Grendelbach_Effretikon_DamboneC,2017-06-12,3,1.2857,18
Grendelbach_Effretikon_DamboneC,2017-07-03,4,0.7143,10
Inn_Pradella_KohlT,2017-04-14,1,0.6486,48
Inn_Pradella_KohlT,2017-05-23,2,0.0541,4
Inn_Pradella_KohlT,2017-06-18,3,0.0541,4
Inn_Pradella_KohlT,2017-07-20,4,0.2973,22
Inn_Pradella_KohlT,2017-08-20,5,0.0811,6
Inn_Pradella_KohlT,2017-09-15,6,0.027,2
Inn_Pradella_KohlT,2017-10-20,7,0.0541,4
jona_tann_nusslin,2017-04-03,1,1.3333,16
jona_tann_nusslin,2017-05-12,2,2.1667,26
jona_tann_nusslin,2017-06-25,3,4.0,48
jona_tann_nusslin,2017-07-15,4,3.1667,38
jona_tann_nusslin,2017-08-22,5,5.4167,65
jona_tann_nusslin,2017-09-30,6,2.4167,29
jona_tann_nusslin,2017-10-29,7,0.5,6
jona_tann_nusslin,2017-11-30,8,1.5833,19
jona_tann_nusslin,2017-12-31,9,1.3333,16
jona_tann_nusslin,2018-01-31,10,1.5,18
jona_tann_nusslin,2018-02-22,11,0.6667,8
jona_tann_nusslin,2018-03-22,12,0.5833,7
katzenbach_zuerich_sanesim,2017-04-30,1,0.0707,7
katzenbach_zuerich_sanesim,2017-05-25,2,0.0909,9
katzenbach_zuerich_sanesim,2017-06-29,3,0.0707,7
katzenbach_zuerich_sanesim,2017-07-18,4,0.1717,17
katzenbach_zuerich_sanesim,2017-08-21,5,0.1414,14
katzenbach_zuerich_sanesim,2017-09-28,6,0.1515,15
katzenbach_zuerich_sanesim,2017-10-31,7,0.1414,14
katzenbach_zuerich_sanesim,2017-11-29,8,0.1515,15
katzenbach_zuerich_sanesim,2017-12-31,9,0.0909,9
katzenbach_zuerich_sanesim,2018-01-24,10,0.0202,2
katzenbach_zuerich_sanesim,2018-02-28,11,0.1212,12
katzenbach_zuerich_sanesim,2018-03-24,12,0.0808,8
katzensee_regensdorfzuerichaffoltern_stueberj,2017-04-04,1,2.8571,180
katzensee_regensdorfzuerichaffoltern_stueberj,2017-05-03,2,3.9206,247
katzensee_regensdorfzuerichaffoltern_stueberj,2017-06-06,3,1.4603,92
katzensee_regensdorfzuerichaffoltern_stueberj,2017-07-05,4,1.3968,88
katzensee_regensdorfzuerichaffoltern_stueberj,2017-08-15,5,1.1587,73
katzensee_regensdorfzuerichaffoltern_stueberj,2017-09-07,6,1.3651,86
katzensee_regensdorfzuerichaffoltern_stueberj,2017-10-05,7,1.9365,122
katzensee_regensdorfzuerichaffoltern_stueberj,2017-11-06,8,1.4762,93
katzensee_regensdorfzuerichaffoltern_stueberj,2017-12-08,9,1.0,63
katzensee_regensdorfzuerichaffoltern_stueberj,2018-01-09,10,1.6508,104
katzensee_regensdorfzuerichaffoltern_stueberj,2018-02-10,11,1.3333,84
katzensee_regensdorfzuerichaffoltern_stueberj,2018-03-08,12,1.4444,91
lacléman_gland_kubela,2017-05-25,1,13.8571,97
lacléman_gland_kubela,2017-06-28,2,6.8571,48
lacléman_gland_kubela,2017-07-25,3,6.2857,44
lacléman_gland_kubela,2017-08-29,4,4.0,28
lacléman_gland_kubela,2017-09-28,5,5.8571,41
lacléman_gland_kubela,2017-10-26,6,1.0,7
lacléman_gland_kubela,2017-11-28,7,5.2857,37
lacléman_gland_kubela,2017-12-16,8,2.7143,19
lacléman_gland_kubela,2018-01-19,9,3.4286,24
lacléman_gland_kubela,2018-02-19,10,0.7143,5
lacléman_gland_kubela,2018-03-18,11,32.0,224
Lacléman_Gland_LecoanetS,2017-07-11,1,0.5765,49
Lacléman_Gland_LecoanetS,2017-08-07,2,1.2824,109
Lacléman_Gland_LecoanetS,2017-09-12,3,0.7765,66
Lacléman_Gland_LecoanetS,2017-10-10,4,0.8118,69
Lacléman_Gland_LecoanetS,2017-11-17,5,1.0235,87
Lacléman_Gland_LecoanetS,2017-12-16,6,0.3176,27
Lacléman_Gland_LecoanetS,2018-01-19,7,0.2471,21
Lacléman_Gland_LecoanetS,2018-02-19,8,0.1176,10
Lacléman_Gland_LecoanetS,2018-03-18,9,3.9765,338
LacLéman_La Tour-de-Peilz_bain des dames_Hammerdirt,2017-05-19,1,28.4333,853
lacléman_vidy_santie,2017-04-30,1,11.7407,317
lacléman_vidy_santie,2017-05-23,2,18.5926,502
lacléman_vidy_santie,2017-06-16,3,13.7037,370
lacléman_vidy_santie,2017-07-21,4,8.5556,231
lacléman_vidy_santie,2017-08-25,5,10.0741,272
lacléman_vidy_santie,2017-09-26,6,6.2222,168
lacléman_vidy_santie,2017-10-24,7,4.0,108
lacléman_vidy_santie,2017-11-17,8,2.8889,78
lacléman_vidy_santie,2017-12-26,9,3.3333,90
lacléman_vidy_santie,2018-01-23,10,6.4815,175
lacléman_vidy_santie,2018-02-26,11,7.6667,207
lacléman_vidy_santie,2018-03-26,12,9.2222,249
langete_langenthal_geiserm,2017-04-24,1,4.3571,61
langete_langenthal_geiserm,2017-05-24,2,1.9286,27
langete_langenthal_geiserm,2017-06-22,3,2.0,28
langete_langenthal_geiserm,2017-07-24,4,2.8571,40
langete_langenthal_geiserm,2017-08-21,5,2.0714,29
langete_langenthal_geiserm,2017-09-21,6,1.2143,17
langete_langenthal_geiserm,2017-10-25,7,0.8571,12
langete_langenthal_geiserm,2017-11-22,8,1.5714,22
langete_langenthal_geiserm,2018-01-30,9,1.3571,19
langete_langenthal_geiserm,2018-02-27,10,1.7143,24
langete_langenthal_geiserm,2018-03-30,11,1.5714,22
limmat_dietikon_keiserp,2017-05-27,1,2.4677,153
limmat_dietikon_keiserp,2017-06-26,2,3.7903,235
limmat_dietikon_keiserp,2017-08-03,3,1.5645,97
limmat_dietikon_keiserp,2017-09-30,4,0.5806,36
limmat_dietikon_keiserp,2017-10-28,5,0.6452,40
limmat_dietikon_keiserp,2017-11-27,6,0.5,31
limmat_dietikon_keiserp,2017-12-29,7,0.5645,35
limmat_dietikon_keiserp,2018-01-29,8,0.8065,50
limmat_dietikon_keiserp,2018-03-29,9,1.4839,92
Limmat_Unterengstringen_OggierBührer,2017-04-23,1,1.2143,34
Limmat_Unterengstringen_OggierBührer,2017-05-09,2,0.9286,26
Limmat_Unterengstringen_OggierBührer,2017-06-14,3,0.8929,25
Limmat_Unterengstringen_OggierBührer,2017-07-15,4,1.1786,33
Limmat_Unterengstringen_OggierBührer,2017-08-09,5,1.2143,34
Limmat_Unterengstringen_OggierBührer,2017-09-24,6,0.6071,17
Limmat_Unterengstringen_OggierBührer,2017-10-16,7,0.2857,8
Limmat_Unterengstringen_OggierBührer,2017-11-30,8,0.1071,3
Limmat_Unterengstringen_OggierBührer,2017-12-27,9,1.1071,31
Limmat_Unterengstringen_OggierBührer,2018-01-19,10,0.8214,23
Limmat_Unterengstringen_OggierBührer,2018-02-14,11,0.25,7
Limmat_Unterengstringen_OggierBührer,2018-03-07,12,0.9643,27
Limmat_Zuerich_JansenA,2017-04-13,1,0.5926,32
Limmat_Zuerich_JansenA,2017-05-11,2,0.2407,13
Limmat_Zuerich_JansenA,2017-06-15,3,0.8148,44
Limmat_Zuerich_JansenA,2017-07-13,4,0.6481,35
Limmat_Zuerich_JansenA,2017-08-17,5,1.2037,65
Limmat_Zuerich_JansenA,2017-09-07,6,0.2037,11
Limmat_Zuerich_JansenA,2017-10-11,7,0.1481,8
Limmat_Zuerich_JansenA,2017-11-16,8,0.0185,1
Limmat_Zuerich_JansenA,2017-12-14,9,0.1296,7
Limmat_Zuerich_JansenA,2018-01-17,10,0.037,2
Limmat_Zuerich_JansenA,2018-03-15,11,0.1111,6
limmat_zuerich_suterd&glauserp,2017-04-10,1,2.9762,125
limmat_zuerich_suterd&glauserp,2017-05-16,2,0.5238,22
limmat_zuerich_suterd&glauserp,2017-06-14,3,3.5238,148
limmat_zuerich_suterd&glauserp,2017-07-12,4,4.6905,197
limmat_zuerich_suterd&glauserp,2017-08-21,5,1.5476,65
limmat_zuerich_suterd&glauserp,2017-09-26,6,0.5714,24
limmat_zuerich_suterd&glauserp,2017-10-18,7,0.5,21
limmat_zuerich_suterd&glauserp,2017-11-23,8,0.2381,10
limmat_zuerich_suterd&glauserp,2017-12-21,9,0.1429,6
limmat_zuerich_suterd&glauserp,2018-02-24,10,0.4762,20
limmat_zuerich_suterd&glauserp,2018-03-24,11,1.1429,48
Limmat_Zuerich_WagnerC,2017-04-30,1,0.5143,18
Limmat_Zuerich_WagnerC,2017-05-30,2,1.0857,38
Limmat_Zuerich_WagnerC,2017-06-30,3,1.6857,59
Limmat_Zuerich_WagnerC,2017-07-27,4,0.0857,3
Limmat_Zuerich_WagnerC,2017-08-31,5,0.2571,9
Limmat_Zuerich_WagnerC,2017-10-07,6,0.1143,4
Limmat_Zuerich_WagnerC,2017-11-03,7,0.6,21
Limmat_Zuerich_WagnerC,2017-12-31,8,0.3143,11
Limmat_Zuerich_WagnerC,2018-03-30,9,0.6571,23
limmat_zürich_mortensena_meiera,2017-05-04,1,1.5862,46
limmat_zürich_mortensena_meiera,2017-06-23,2,11.1379,323
limmat_zürich_mortensena_meiera,2017-08-07,3,1.3448,39
Lorze_Baar_BlarerE,2017-04-07,1,1.3235,45
Lorze_Baar_BlarerE,2017-05-06,2,0.9412,32
Lorze_Baar_BlarerE,2017-06-02,3,0.8529,29
Lorze_Baar_BlarerE,2017-07-08,4,0.7059,24
Lorze_Baar_BlarerE,2017-08-06,5,0.8824,30
Lorze_Baar_BlarerE,2017-09-10,6,0.6765,23
Lorze_Baar_BlarerE,2017-10-21,7,0.3529,12
Lorze_Baar_BlarerE,2017-11-04,8,0.7941,27
Lorze_Baar_BlarerE,2017-12-23,9,0.3235,11
Lorze_Baar_BlarerE,2018-01-20,10,0.5,17
Lorze_Baar_BlarerE,2018-02-10,11,0.4412,15
Lorze_Baar_BlarerE,2018-03-10,12,1.3235,45
lötschebach_bern_scheurerk,2017-05-21,1,0.269,46
lötschebach_bern_scheurerk,2017-07-09,2,0.0117,2
lötschebach_bern_scheurerk,2017-08-26,3,0.0526,9
lötschebach_bern_scheurerk,2017-11-22,4,0.0292,5
lötschebach_bern_scheurerk,2018-01-29,5,0.1228,21
lötschebach_bern_scheurerk,2018-02-20,6,0.0702,12
lötschebach_bern_scheurerk,2018-03-14,7,0.0877,15
Mammern swisslitterreport,2017-04-08,1,0.24,90
Mammern swisslitterreport,2017-06-15,2,0.5813,218
Mammern swisslitterreport,2017-07-24,3,0.32,120
Mammern swisslitterreport,2017-08-26,4,0.568,213
Mammern swisslitterreport,2017-10-30,5,0.1493,56
Mammern swisslitterreport,2017-11-04,6,0.0613,23
Mammern swisslitterreport,2018-01-01,7,0.0347,13
Mammern swisslitterreport,2018-02-03,8,0.0613,23
Murg_Waengi_StrickerR,2017-04-15,1,0.7692,10
Murg_Waengi_StrickerR,2017-06-20,2,0.0769,1
Murg_Waengi_StrickerR,2017-07-15,3,0.0769,1
Murg_Waengi_StrickerR,2017-08-22,4,0.4615,6
Murg_Waengi_StrickerR,2017-11-20,5,0.4615,6
Murg_Waengi_StrickerR,2017-12-27,6,0.3077,4
Murg_Waengi_StrickerR,2018-01-28,7,0.4615,6
Murg_Waengi_StrickerR,2018-02-26,8,0.2308,3
Murg_Waengi_StrickerR,2018-03-22,9,0.1538,2
Neuenburgersee_Cudrefin_MatterA,2017-04-07,1,2.6,26
Neuenburgersee_Cudrefin_MatterA,2017-05-28,2,2.7,27
Neuenburgersee_Cudrefin_MatterA,2017-06-25,3,2.6,26
Neuenburgersee_Cudrefin_MatterA,2017-07-29,4,2.1,21
Neuenburgersee_Cudrefin_MatterA,2017-08-20,5,1.9,19
Neuenburgersee_Cudrefin_MatterA,2017-09-24,6,3.0,30
Neuenburgersee_Cudrefin_MatterA,2017-10-28,7,2.3,23
Neuenburgersee_Cudrefin_MatterA,2017-12-17,8,2.1,21
Ognonnaz-1,2017-05-03,1,2.8723,135
Pfaffner_Rothrist_Ischik,2017-04-08,1,2.7143,38
Pfaffner_Rothrist_Ischik,2017-05-30,2,1.1429,16
Pfaffner_Rothrist_Ischik,2017-06-22,3,0.5,7
Pfaffner_Rothrist_Ischik,2017-07-17,4,0.3571,5
Pfaffner_Rothrist_Ischik,2017-08-28,5,0.6429,9
Pfaffner_Rothrist_Ischik,2017-09-24,6,0.2857,4
Pfaffner_Rothrist_Ischik,2017-10-07,7,0.3571,5
Pfaffner_Rothrist_Ischik,2017-11-24,8,0.5,7
Pfaffner_Rothrist_Ischik,2017-12-27,9,0.3571,5
Reuss,2017-04-24,1,0.25,1
reuss_hünenberg_eberhardy,2017-04-10,1,1.6071,45
reuss_hünenberg_eberhardy,2017-05-09,2,1.1786,33
reuss_hünenberg_eberhardy,2017-06-12,3,1.2143,34
